myanglish,burmese,frequency
sann,ဆန်း,70
sant,ဆန့်,70
sap,ဆပ်,70
sar,ဆာ,70
satkant,စက္ကန့်,70
satt,ဆက်,70
saung,ဆောင်း,70
saw,စော,70
sawm,ဆောမ်း,70
say,စေး,70
se,စီ,70
see,ဆည်း,70
sein,စိန်,70
seinn,စိမ်း,70
seint,စိမ့်,70
sekkya,စင်္ကြာ,70
sekkyar,စင်္ကြာ,70
sell,ဆဲလ်,70
seng,ဆိုင်း,70
seph,စက်ဖ်,70
set,ဆက်,70
setkya,စင်္ကြာ,70
setkyar,စင်္ကြာ,70
sett,ဆက်,70
sey,စီ,70
sha,ရှ,70
shae,ရှေး,70
shal,ရှယ်,70
shan,လျှံ,70
shane,ရှိန်း,70
shann,ရှန်း,70
shante,သျှန္တီ,70
shanti,သျှန္တီ,70
shar,သျှား,70
sharm,ရှာမ်,70
shaung,ရှောင်,70
shay,ရှည်,70
she,ရှီ,70
shee,ရှီး,70
sheik,ရှိတ်,70
shein,ရှိန်,70
shel,ရှယ်,70
shi,ရှီ,70
shie,ရှီး,70
shin,ရှင်း,70
shine,ရှိုင်း,70
shinn,ရှင်း,70
sho,လျို,70
shoe,ရှိုး,70
shon,ရွှန်း,70
shone,ရှုံး,70
shooe,ရှိုး,70
shoon,ရွှန်း,70
show,ရှိုး,70
showe,ရှိုး,70
shu,ရှု,70
shue,ရှု,70
shun,ရွှန်း,70
shune,ရွှန်း,70
shunn,ရွှန်း,70
shwae,ရွှေ့,70
shwin,ရွှင်,70
si,စည်,70
siddhi,သိဒ္ဓိ,70
sike,ဆိုက်,70
sil,ဆဲလ်,70
sin,စင်,70
sinn,ဆင်း,70
sint,ဆင့်,70
sit,စစ်,70
site,စိုက်,70
sitt,စစ်,70
snadar,စန္ဒာ,70
soe,စိုး,70
soi,စွဲ့,70
sokka,စုက္က,70
son,ဆန်,70
sone,စုံ,70
soon,ဆွန်း,70
soum,ဆုမ်း,70
su,စု,70
sue,ဆူး,70
sun,ဆန်း,70
sundi,စန္ဒီ,70
sundy,စန္ဒီ,70
sung,ဆုမ်း,70
sunn,ဆန်း,70
sunt,ဆန့်,70
sup,ဆပ်,70
suu,စူး,70
suun,ဆန်း,70
swal,ဆွဲ,70
swam,ဆွမ်,70
swan,စွမ်း,70
swant,ဆွမ့်,70
swar,စွာ,70
swaye,ဆွေး,70
swe,ဆွေ,70
sweet,ဆွိ,70
swel,ဆွဲ,70
swet,စွဲ့,70
swin,ဆွင်,70
swine,ဆွင်း,70
swon,စွန်း,70
swout,စွပ်,70
swun,စွမ်း,70
swut,ဆွတ်,70
ta,တ,70
tai,တိုင်,70
taik,တိုက်,70
tain,တိန်း,70
taing,တိုင်း,70
taint,တိန့်,70
tak,တက်,70
takka,တက္ခ,70
tal,တယ်လ်,70
tan,တန်,70
tane,တိမ်း,70
tann,တန်း,70
tant,တံ့,70
tar,တာ,70
tat,တက်,70
tauk,တောက်,70
taung,တောင်,70
taut,တောက်,70
taw,တော်,70
tay,တေ,70
te,တီ,70
tee,တီး,70
teel,တီးလ်,70
tekka,တက္ခ,70
ter,တာ,70
tet,တက်,70
thada,သဒ္ဓါ,70
thaddi,သိဒ္ဓိ,70
thae,သဲ,70
thagyan,သင်္ကြန်,70
thaik,သိုက်,70
thain,သိမ်,70
thaing,သိုင်း,70
thaingi,သိင်္ဂီ,70
thal,သဲ,70
thalar,သလ္လာ,70
than,သန်း,70
thanbu,သမ္ဘူ,70
thanda,သန္တာ,70
thandar,သန္တာ,70
thandra,သန္ဒြာ,70
thanmar,သမ္မာ,70
thant,သန့်,70
thar,သာ,70
thatti,သတ္တိ,70
thaung,သောင်း,70
thaw,သော်,70
thawt,သော့,70
the,သေ့,70
thee,သီး,70
theiddat,သိဓ္ဓတ်,70
theik,သိုက်,70
theikha,သိင်္ခ,70
thein,သိန်း,70
theinga,သိင်္ဃ,70
theingar,သိင်္ဂါ,70
theingi,သိင်္ဂီ,70
theinkha,သိင်္ခ,70
theint,သိမ့်,70
theitpan,သိပ္ပံ,70
thel,သဲ,70
thet,သက်,70
thetka,သက္က,70
thi,သီ,70
thike,သိုက်,70
thinchar,သင်္ချာ,70
thinchay,သင်္ချေ,70
thine,သိုင်း,70
thinhse,သိဉ္စည်း,70
thinkay,သင်္ကေ,70
thinkha,သင်္ခ,70
thinn,သင်း,70
thint,သင့်,70
thinza,သဉ္ဇ,70
thinzar,သဉ္စာ,70
thinzu,သဉ္ဇူ,70
thissar,သစ္စာ,70
thit,သစ်,70
tho,သို,70
thon,သွန်း,70
thone,သုန်,70
thoon,သွန်း,70
thot,သို့,70
thouk,သောက်,70
thu,သူ,70
thudaw,သုဒ္ဓေါ,70
thun,သွန်း,70
thunn,သွန်း,70
thwal,သွယ်,70
thwat,သော့,70
thway,သွေး,70
thwe,သွယ်,70
thwel,သွယ်,70
thwet,သွဲ့,70
thwin,သွင်,70
thwint,သွင့်,70
ti,တီ,70
tide,တိုက်,70
tike,တိုက်,70
tin,တင်,70
tine,တိုင်း,70
tint,တင့်,70
tit,တစ်,70
to,တို,70
toe,တိုး,70
toke,တုတ်,70
tom,တွမ်,70
tone,တုန်,70
too,တူး,70
tout,တောက်,70
tra,တြာ,70
tri,တြီ,70
tu,တု,70
tue,တူး,70
tun,ထွန်း,70
tuu,တူး,70
twal,တွယ်,70
twam,တွမ်,70
twan,တွမ်း,70
twann,တွန်း,70
twar,တွာ,70
tway,တွေ,70
twel,တွယ်,70
twun,တွမ်း,70
ty,တိုင်,70
ua,ဝါ,70
va,ဗ,70
vann,ဗန်း,70
ver,ဗား,70
vic,ဗစ်,70
vid,ဗစ်,70
vie,ဗီ,70
vin,ဗင်,70
wa,ဝ,70
wah,ဝါ,70
wai,ဝေ,70
wain,ဝိန်,70
waing,ဝိုင်း,70
wal,ဝယ်,70
wan,ဝမ်း,70
wane,ဝိန်,70
wann,ဝမ်း,70
wanna,ဝဏ္ဏ,70
war,ဝါ,70
way,ဝေး,70
we,ဝီ,70
wei,ဝယ်,70
wein,ဝိန်,70
wel,ဝယ်လ်,70
white,ဝိုက်,70
wi,ဝီ,70
win,ဝင်း,70
wine,ဝိုင်း,70
winn,ဝင်း,70
wint,ဝင့်,70
wit,ဝတ်,70
wohn,ဝုန်,70
won,ဝန်း,70
wone,ဝုန်,70
wonna,ဝဏ္ဏ,70
woon,ဝန်း,70
wou,ဝူ,70
wu,ဝူ,70
wuit,ဝတ်,70
wun,ဝန်း,70
wunn,ဝန်း,70
wunna,ဝဏ္ဏ,70
wut,ဝတ်,70
wutt,ဝတ်,70
wyit,ဝတ်,70
wyne,ဝိုင်း,70
wynn,ဝင်း,70
wyut,ဝတ်,70
xander,ဇန္ဒား,70
yae,ရေ,70
yah,ယား,70
yai,ရဲ့,70
yain,ရိန်,70
yaine,ယိန်း,70
yaing,ယိုင်,70
yaint,ယိမ့်,70
yake,ရိပ်,70
yan,ယံ,70
yang,ရန်း,70
yann,ယန်း,70
yar,ယျာ,70
yaung,ရောင်,70
yaw,ယော်,70
yawt,ရော့ဒ်,70
ye,ရဲ,70
yee,ရည်,70
yeik,ရိပ်,70
yein,ရိန်,70
yeint,ယိမ့်,70
yem,ရဲမ်,70
yen,ရင်န်,70
yet,ရက်,70
yi,ရည်,70
yie,ရည်,70
yin,ယဉ်,70
yine,ရိုင်း,70
yint,ရင့်,70
yo,ရို,70
yoe,ရိုး,70
yoke,ရုပ်,70
yon,ယုံ,70
yone,ရုံ,70
yoon,ယွန်း,70
yope,ရုပ်,70
yote,ရုပ်,70
youm,ရွမ်း,70
yoy,ရိုင်,70
yu,ယု,70
yue,ယူး,70
yun,ယွန်း,70
yut,ရွတ်,70
ywal,ရွယ်,70
ywar,ရွာ,70
ywat,ရွက်,70
ywet,ရွက်,70
za,ဇေ,70
zabu,ဇမ္ဗူ,70
zal,ဇယ်,70
zam,ဇမ်း,70
zamt,ဇမ့်,70
zan,ဇံ,70
zane,ဇိန်း,70
zanw,ဇော်,70
zar,ဇာ,70
zat,ဇက်,70
zaung,ဇေါင်း,70
zaw,ဇော်,70
zawl,ဇော,70
zay,ဇေ,70
ze,ဇီ,70
zee,ဇီး,70
zeik,ဇိတ်,70
zen,ဈာန်,70
zet,ဇက်,70
zhan,ဇံ,70
zhi,ဇ္ဈိ,70
zi,ဇီ,70
zin,ဇင်,70
zinn,ဇင်း,70
zint,ဇင့်,70
zo,ဇို,70
zon,ဇွန်,70
zone,ဇုန်,70
zoon,ဇွန်း,70
zu,ဇူ,70
zue,ဇူး,70
zun,ဇွန်,70
zuu,ဇူး,70
zwal,ဇွဲ,70
zwe,ဇွဲ,70
zwel,ဇွဲ,70
zyan,ဈာန်,70
aant,အန့်,60
aein,အိဏ်,60
aein,အိဏ်း,60
aein,အိန်,60
aein,အိမ်လ်,60
aeinda,အိန္တ,60
aeinda,ဣန္ဒ,60
aeindar,အိန္ဒာ,60
aeindar,ဣန္တာ,60
aeindar,ဣန္ဒာ,60
aeindray,ဣန္ဒြေ,60
aeindu,အိန္ဒု,60
aeinn,အိမ်း,60
an,အဲန်,60
ar,အာဖ်,60
ar,အာရ်,60
arr,အားရ်,60
arr,အားလ်,60
auu,အူ,60
aww,အော,60
ba,ဗ,60
bai,ပါယ်,60
bal,ဘယ်,60
bal,ဘယ်လ်,60
baw,ဘော,60
bay,ဗေ,60
bay,ဗေး,60
be,ဗီ,60
be,ဘီလ်,60
bel,ဘဲန်,60
bert,ဘက်,60
bhone,ဘုဏ်း,60
bi,ဘိ,60
bi,ဘိုင်,60
boi,ဘွိုင်း,60
boke,ဗုတ်,60
bon,ဗုံ,60
bon,ဗွန်,60
bu,ဘု,60
bwe,ဘွဲ,60
byar,ဗြာ,60
chal,ချယ်လ်,60
chal,ခြယ်,60
chan,ချန်,60
chan,ချန်း,60
chard,ချက်ထ်,60
chaung,ချောင်း,60
chaw,ချော်,60
che,ချီ,60
chi,ချိ,60
chin,ချင်,60
chon,ချုံ,60
chu,ချူ,60
chu,ချူး,60
chu,ခြူ,60
dain,ဒိန်,60
dain,ဒိမ်,60
dan,ဓါန်,60
daung,ဒေါင်း,60
daw,ဒေါ,60
day,ဒေ,60
day,ဒေး,60
de,ဒီ,60
de,ဓီ,60
din,ဒင်း,60
dine,ဒိုင်း,60
doe,ဒိုး,60
du,ဒု,60
du,ဒုလ်,60
du,ဓု,60
du,ဓူ,60
dwat,ဒေါ့,60
dwat,ဒွက်,60
e,အက်,60
eain,အိပ်,60
ei,အိစ်,60
ei,အီ,60
ei,အီး,60
game,ဂိမ်,60
ganda,ဂန္ဓ,60
ganda,ဂန္ဓာ,60
gant,ဂန့်,60
gaw,ဂေါ်,60
gay,ဂေး,60
go,ဂိုး,60
gon,ဂုံ,60
gyan,ဂျမ်,60
hae,ဟဲဒ်,60
hain,ဟိဏ်း,60
han,ဟံ,60
har,ဟယ်,60
hay,ဟြေ,60
hein,ဟိမ်း,60
hin,ဟင်,60
hin,ဟင်လ်,60
hlaine,လှိုင်း,60
hlaine,လှိုဏ်း,60
hlan,လှန်,60
hlayan,လျှန်,60
hlayan,လျှမ်,60
hmone,မှုန်,60
hmone,မှုန်း,60
ho,ဟို,60
hone,ဟုန်,60
hone,ဟုမ်,60
hpone,ဖုဏ်း,60
hsal,ဆဲ,60
hsan,ဆမ်,60
hsan,ဆံ,60
hseng,ဆိုင်,60
htal,ထယ်,60
htan,ထန်,60
htan,ထဲမ်း,60
htar,ထာ,60
htar,ထာရ်,60
htar,ထာသ်,60
htaung,ထောင်,60
htaw,ထော်,60
htay,ဌေ,60
hti,ထိ,60
htoon,ထွဏ်း,60
htut,ထွတ်,60
htway,ထွေ,60
hwan,ဟွမ်း,60
inza,အဉ္ဇ,60
ja,ဂျား,60
jack,ဂျက်ခ်,60
jal,ဂျယ်လ်,60
jo,ဂျို,60
ka,ကု,60
kain,ကိန်း,60
kain,ကိမ်း,60
kaing,ကိုင်း,60
kal,ကယ်လ်,60
kam,ကမ်း,60
kan,ကန်,60
kan,ကန်း,60
kant,ကန့်,60
kap,ကတ်,60
kar,ကား,60
kat,ကက်,60
kaung,ကောင်,60
kaw,ကော,60
kay,ကေး,60
ke,ကီလ်,60
kham,ခန်း,60
kham,ခမ်,60
khan,ခဏ်,60
khan,ခန်,60
khan,ခံ,60
khant,ခမ့်,60
khant,ခံ့,60
khar,ခါ,60
khar,ခါရ်,60
khat,ခက်ခ်,60
khat,ခတ်,60
khaung,ခေါင်း,60
khaw,ခေါ,60
khaw,ခေါမ်,60
khaw,ခေါမ်း,60
khaw,ခေါလ်,60
khaw,ခေါ်,60
khawl,ခေါ်လ်,60
khay,ခေ,60
khin,ခင်း,60
khu,ခု,60
khwan,ခွမ်း,60
khwar,ခွါ,60
khwar,ခွား,60
khway,ခွေး,60
ki,ကိ,60
kin,ကင်,60
kiss,ကိစ္စ,60
ko,ကိုယ်,60
kone,ကုံး,60
ku,ကူး,60
kwal,ကွယ်,60
kwaye,ကွေး,60
kyae,ကျဲရ်,60
kyaine,ကြိုင်း,60
kyan,ကျန်း,60
kyan,ကြံ,60
kyar,ကျား,60
kyar,ကြား,60
kyaung,ကျောင်း,60
kyaung,ကြောင်,60
kyaung,ကြောင်း,60
kyaw,ကျော,60
kyaw,ကြော,60
kyawt,ကျော့်,60
kyawt,ကြော့,60
kyay,ကျေး,60
kyee,ကျီး,60
kyein,ကျိမ်း,60
kyi,ကျီ,60
kyi,ကြည့်,60
kyin,ကျင်း,60
kyin,ကြင်,60
kyo,ကြို,60
kyoe,ကြိုး,60
kyon,ကျွင်း,60
kyon,ကြုံ,60
kyu,ကျူ,60
kyu,ကျူး,60
kywal,ကျွယ်,60
l,အယ်လ်,60
lae,လဲ,60
lae,လဲလ်,60
lain,လိန်,60
lain,လိမ်း,60
lal,လည်း,60
lal,လယ်,60
lan,လန်,60
lan,လန်း,60
lan,လာန်,60
lan,လဲန်း,60
lann,လာန်း,60
lant,လန့်,60
lant,လဲမ့်,60
lao,လောင်,60
lar,လား,60
lar,ဠာ,60
laung,လောင်း,60
law,လော်,60
lay,လေ,60
layan,လျန်,60
layan,လျံ,60
li,လိ,60
lin,လင်,60
lin,လဲင်,60
lon,လုံ,60
lu,လု,60
lu,ဠု,60
lwal,လွဲ,60
lwan,လွမ်,60
mae,မဲန်,60
mae,မဲလ်,60
main,မိန်း,60
man,မန်,60
man,မန်း,60
man,မံ,60
mar,မာရ်,60
mar,မား,60
mat,မတ်,60
maw,မော,60
maw,မောရ်,60
mee,မီးရ်,60
mi,မိ,60
mile,မိုင်းလ်,60
min,မင်,60
mine,မိုင်း,60
mo,မိုရ်,60
moet,မို့စ်,60
mone,မုန်,60
mone,မုန်း,60
mu,မု,60
mu,မုစ်,60
mwan,မွမ်,60
myae,မြေး,60
myaet,မြက်,60
mye,မြီ,60
myint,မြင့့်,60
myintzu,မြဉ္ဇူ,60
n,အန်,60
n,အန်ဒ်,60
na,နား,60
nae,နဲ,60
nan,နန်,60
nan,နန်းဒ်,60
nan,နမ်,60
nan,နာမ်,60
nan,နဲမ်း,60
nant,နန့်,60
nar,ဏာ,60
nar,နာ့,60
nat,နတ်,60
naw,နော,60
nge,ငဲ,60
ni,ဏိ,60
ni,ဏီ,60
ni,နည်,60
non,နွန်း,60
non,နွံ,60
nwan,နွမ်,60
nway,နွေ,60
nyar,ငြား,60
nyar,ညာ,60
nyein,ငြိမ်,60
nyein,ညိန်း,60
nyein,ညိမ်း,60
nyeint,ညိမ့်,60
nyunt,ညွန်,60
oak,အုတ်,60
ohn,အုံ,60
ohn,အုံး,60
pa,ပိ,60
pa,ပု,60
pae,ပဲ,60
pal,ပယ်လ်,60
pan,ပန်,60
pan,ပဲန်း,60
pan,ပံ,60
par,ပါရ်,60
par,ပါ့,60
par,ပါး,60
paw,ပေါ,60
pay,ပေး,60
pee,ပီး,60
phan,ဖန်း,60
phar,ဖား,60
phaung,ဖောင်း,60
phaw,ဖေါ,60
phaw,ဖော်,60
phe,ဖီး,60
phi,ဖိ,60
phone,ဖုံး,60
phu,ဖု,60
phu,ဖူ,60
phwar,ဖွား,60
pwar,ပွါ,60
pyant,ပြန့်,60
pyar,ပြား,60
pyaung,ပြောင်း,60
rain,ရိန်း,60
ral,ရယ်လ်,60
ran,ရမ်း,60
rat,ယက်,60
rat,ရတ်,60
raw,ရော်,60
rin,ရင်န်,60
rine,ရိုင်း,60
rine,ရိုင်းန်,60
ris,ရစ္စ,60
rit,ရာဇ်,60
roi,ရွိုင်,60
s,အက်စ်,60
sae,စဲ,60
sain,စိမ်,60
sain,စိမ်း,60
sain,ဆိန်း,60
sanda,စန္ဒ,60
sanda,ဆန္ဒ,60
sar,စာ,60
sar,ဆားရ်,60
saung,ဆောင်,60
saw,စောမ်,60
saw,စောလ်,60
saw,စော်,60
saw,ဆော်,60
say,စေ,60
see,စည်း,60
see,စီး,60
see,ဆီး,60
sha,သျှ,60
shal,ရှဲ,60
shal,ရှဲလ်,60
shan,ရှန်,60
shan,ရှန်း,60
shan,ရှမ်,60
shan,ရှဲမ်း,60
shan,သျှန်,60
shan,သျှန်း,60
shan,သျှမ်,60
shan,သျှမ်း,60
shan,သျှံ,60
shane,ရှိမ်း,60
shar,ရှာ,60
shar,ရှား,60
shar,လျှား,60
shin,ယှဉ်,60
shin,ရှင်,60
shin,သျှင်,60
shin,သျှင်း,60
shine,ရှိုင်းန်း,60
sho,လျှို,60
shon,ရွန်း,60
shune,သျွှန်း,60
si,စိ,60
si,စီ,60
si,ဆီ,60
sin,စင်း,60
sin,စဉ်,60
sint,စဉ့်,60
soe,ဆိုး,60
sone,ဆုန်,60
sone,ဆုန်း,60
sone,ဆုံး,60
su,စူ,60
su,ဆု,60
su,ဆူ,60
sue,စူး,60
swal,စွယ်,60
swal,ဆွယ်,60
swan,စွမ်,60
swan,ဆွမ်း,60
swon,စွန်,60
swon,ဆွန်,60
ta,တံ,60
tain,တိမ်,60
tan,တန်း,60
tant,တန့်,60
tar,တား,60
taung,တောင်း,60
taw,တော,60
tay,တေး,60
te,တေ့,60
tee,တီလ်,60
thae,သည်း,60
thae,ဿဲ,60
than,သန်,60
than,သံ,60
than,ဿဏ်,60
than,ဿန်,60
than,ဿန်း,60
thanda,သန္ဒာ,60
thar,သား,60
thar,ဿာ,60
thaung,သောင်,60
thaw,သော,60
thein,သိဏ်း,60
thein,သိမ်,60
thein,သိမ်း,60
thet,သတ်,60
thi,သိ,60
thi,ဿီ,60
thinzar,သဉ္ဇာ,60
thu,သု,60
thwat,သော့ခ်,60
ti,တည်,60
ti,တိ,60
tin,တင်း,60
toke,တုပ်,60
tone,တုန်း,60
tone,တုံ,60
tone,တုံး,60
twal,တွဲ,60
tway,တွေး,60
va,ဗာ,60
wah,ဝါလ်,60
wah,ဝါး,60
wan,ဝဏ်,60
wan,ဝမ်,60
wan,ဝံ,60
wi,ဝိ,60
win,ဝင်,60
wine,ဝိုင်,60
won,ဝန်,60
ya,ယ,60
ya,ယျ,60
yae,ရေး,60
yain,ယိန်း,60
yaine,ယိင်း,60
yan,ယန်,60
yan,ယာန်,60
yan,ယျန်,60
yan,ရန်,60
yan,ရံ,60
yar,ယာ,60
yar,ရား,60
yaung,ယောင်,60
yaung,ရောင်းန်,60
yaw,ယော,60
yee,ရီ,60
yein,ယိမ်း,60
yin,ယဉ်း,60
yin,ရင်,60
yo,ယို,60
yone,ယုန်,60
yone,ရုဏ်,60
yone,ရုဏ်း,60
yone,ရုန်း,60
yone,ရုံး,60
yote,ရုတ်စ်,60
yu,ယူ,60
yu,ရူ,60
za,ဇ,60
zam,ဇမ်,60
zan,ဇန်,60
zan,ဈာန်,60
zar,ဇာရ်,60
zaung,ဇောင်း,60
zi,ဇိ,60
zin,ဇဉ်,60
zone,ဇုံ,60
kyawe,ကြွေ,150
kway,ကြွေ,150
kywan,ကျွမ်း,150
kwim,ကျွမ်း,145
kywon,ကျွမ်း,145
mwe,မြွေ,150
mway,မြွေ,145
shwe,ရွှေ,150
hla,လှ,150
hlwan,လွှမ်း,150
bar,ဘာ,150
bar,ဗာ,140
dat,ဓာတ်,160
dat,ဒတ်,150
dat,ဓါတ်,140
dat,ဒက်,130
thin,သင်,170
yap,ရပ်,160
yap,ယပ်,150
yak,ရက်,160
yak,ယက်,150
yat,ရတ်,160
yat,ယတ်,150
yout,ရောက်,180
yay,ရေ,260
yay,ရေး,250
yayy,ရေး,260
yayy,ရေ,250
dar,ဓား,260
ra,ရ,260
char,ခြား,270
char,ချား,260
char,ချာ,250
chr,ခြား,270
chr,ချား,260
chr,ချာ,250
hna,နှ,270
hnik,နှစ်,270
hnit,နှစ်,270
b,ဘ,270
b,ဗ,260
v,ဘ,270
v,ဗ,260
bo,ဘို,280
bo,ဗို,270
vo,ဘို,280
vo,ဗို,270
pwl,ပွဲ,300
lwl,လွဲ,300
mwl,မွဲ,300
swl,စွဲ,300
swl,ဆွဲ,290
var,ဗာ,200
mingalar,မင်္ဂလာ,300
myittar,မေတ္တာ,300
thitsar,သစ္စာ,300
thitsa,သစ္စာ,290
takkatho,တက္ကသိုလ်,300
takkathol,တက္ကသိုလ်,290
thakekar,သိက္ခာ,300
theikkhar,သိက္ခာ,290
thadar,သဒ္ဒါ,300
dhamma,ဓမ္မ,300
darma,ဓမ္မ,280
kamma,ကမ္မ,300
d*,ဒီ,320
d*nay,ဒီနေ့,320
d*nya,ဒီည,320
d*nayyar,ဒီနေရာ,320
da,ဒ,220
da,ဓ,210
pide,ပိုက်,240
pide,ပိုဒ်,230
pite,ပိုက်,240
pite,ပိုဒ်,230
thol,သိုလ်,260
ouk,အောက်,260
out,အောက်,260
chk,ချစ်,240
chk,ချက်,230
dnay,ဒီနေ့,350
dnya,ဒီည,350
dnayyar,ဒီနေရာ,350
san,ဆံ,300
khal,ခဲ,300
akhal,အခဲ,300
yr,ရာ,300
khon,ခွန်း,300
khun,ခွန်း,300
pote,ပုဒ်,300
pode,ပုဒ်,300
yl,ရယ်,300
yal,ရယ်,300
dape,ဓိတ်,300
date,ဓိတ်,300
di,ဓိ,300
pyay,ဖြေ,300
hnoke,နှုတ်,300
hnote,နှုတ်,300
yape,ရိပ်,300
yape,ရိတ်,290
yate,ရိပ်,300
yate,ရိတ်,290
twr,သွား,300
twrr,သွား,300
da,တ,70
dar,တာ,70
date,ဒိတ်,70
di,တီ,70
hna,နှာ,70
khal,ခယ်,70
khon,ခွန်,70
khun,ခွန်,70
kway,ကွေး,70
kywon,ကျွံ,70
mway,မွေး,70
mwe,မွေး,70
pyay,ပြေ,70
san,စံ,70
thin,သင်း,70
v,ဗွီ,70
yat,ရက်,70
bo,ဗိုလ်,60
char,ခြာ,60
dar,ဋာ,60
dar,ဒါ,60
dar,ဒါး,60
dar,ဒါးလ်,60
di,ဒိ,60
khon,ခုံ,60
kway,ကွေ,60
kywan,ကျွန်,60
kywan,ကြွမ်,60
mway,မွေ,60
pyay,ပြည်,60
san,စန်,60
san,စန်း,60
san,စမ်း,60
san,ဆန်,60
san,ဆန်း,60
thadar,သဒ္ဓါ,60
yal,ယယ်,60
abudhabi,အဘူဒါဘီ,450
account,အကောင့်,440
actor,အက်တာ,440
actress,အက်ထရက်စ်,440
adapter,အဒက်တာ,440
ae,ဧည့်,560
ai,အေအိုင်,440
airconditioner,အဲကွန်း,440
airport,အဲယားပို့တ်,440
album,အယ်လ်ဘမ်,440
allergy,အယ်လတ်ဂျီ,440
animation,အန်နီမေးရှင်း,440
ankara,အန်ကာရာ,450
app,အက်ပ်,440
application,အက်ပလီကေးရှင်း,440
assignment,အဆိုင်မန့်,440
astana,အက်စတာနာ,450
ate,အိပ်,560
ate,အိတ်,550
atm,အေအမ်တီ,440
audio,အော်ဒီယို,440
ayeyarwady,ဧရာဝတီ,450
bacteria,ဘက်တီးရီးယား,440
badminton,ဘက်ဒမင်တန်,440
bag,ဘက်ဂ်,440
baghdad,ဘဂ္ဂဒက်,450
bago,ပဲခူး,450
bandarseribegawan,ဘန်ဒါဆရီဘီဂါဝန်,450
bangkok,ဘန်ကောက်,450
bangladesh,ဘင်္ဂလားဒေ့ရှ်,450
bank,ဘဏ်,440
baseball,ဘေ့စ်ဘော,440
basketball,ဘတ်စကက်ဘော,440
battery,ဘက်ထရီ,440
bed,ဘက်ဒ်,440
beijing,ပေကျင်း,450
bhutan,ဘူတန်,450
bicycle,ဘိုင်စကယ်,440
bill,ဘီလ်,440
biscuit,ဘီစကစ်,440
bluetooth,ဘလူးတုသ်,440
bonus,ဘောနပ်စ်,440
boot,ဘွတ်,440
bottle,ဘူး,440
bottle,ဘော်တယ်,430
box,ဘောက်စ်,440
boxing,ဘောက်ဆင်,440
brand,ဘရန်း,440
browser,ဘရောက်ဇာ,440
brunei,ဘရူနိုင်း,450
bug,ဘတ်ဂ်,440
burger,ဘာဂါ,440
bus,ဘတ်စ်ကား,440
business,ဘစ်ဇနက်,440
butter,ဘတ်တာ,440
bwa,ဘဝ,560
bye,ဗျည်း,560
bye,ဗျီး,550
bye,ဗြီး,540
byee,ဗျည်း,560
byee,ဗျီး,550
byee,ဗြီး,540
byi,ဗျည်း,560
byi,ဗျီး,550
byi,ဗြီး,540
byii,ဗျည်း,560
byii,ဗျီး,550
byii,ဗြီး,540
cable,ကေဘယ်,440
cafe,ကဖေး,440
cairo,ကိုင်ရို,450
cake,ကိတ်,440
calorie,ကယ်လိုရီ,440
cambodia,ကမ္ဘောဒီးယား,450
camera,ကင်မရာ,440
campus,ကမ်ပတ်စ်,440
canada,ကနေဒါ,450
car,ကား,440
card,ကတ်,440
cartoon,ကာတွန်း,440
cash,ကက်ရှ်,440
centimeter,စင်တီမီတာ,440
ceo,စီအီးအို,440
certificate,ဆာတီဖီကိတ်,440
charger,ချာဂျာ,440
chat,ချက်,440
cheese,ချိစ်,440
chin,ချင်း,450
china,တရုတ်,450
chocolate,ချောကလက်,440
cinema,စီနီမာ,440
class,ကလပ်စ်,440
clinic,ကလီနစ်,440
coach,ကို့ချ်,440
coat,ကုတ်,440
cocoa,ကိုကိုး,440
code,ကုဒ်,440
coding,ကုဒ်ရေးခြင်း,440
coffee,ကော်ဖီ,440
cola,ကိုလာ,440
college,ကောလိပ်,440
color,ကာလာ,440
company,ကုမ္ပဏီ,440
computer,ကွန်ပျူတာ,440
concert,ကွန်ဆာ့တ်,440
cookie,ကွတ်ကီး,440
course,ကောစ်,440
cream,ခရင်မ်,440
creditcard,ခရက်ဒစ်ကတ်,440
cup,ကပ်,440
customer,ကတ်စတမာ,440
da,ဍ,560
da,ဎ,550
data,ဒေတာ,440
database,ဒေတာဘေ့စ်,440
democracy,ဒီမိုကရေစီ,440
design,ဒီဇိုင်း,440
designer,ဒီဇိုင်နာ,440
desktop,ဒက်စ်တော့,440
developer,ဒီဗယ်လော့ပါ,440
dhaka,ဒါကာ,450
diesel,ဒီဇယ်,440
digital,ဒစ်ဂျစ်တယ်,440
director,ဒါရိုက်တာ,440
discount,ဒစ်စကောင့်,440
dj,ဒီဂျေ,440
doctor,ဒေါက်တာ,440
document,ဒေါ့ကူမန့်,440
doha,ဒိုဟာ,450
download,ဒေါင်းလုဒ်,440
drum,ဒရမ်,440
economy,အီကိုနိုမီ,440
egypt,အီဂျစ်,450
electric,အီလက်ထရစ်,440
electronic,အီလက်ထရွန်နစ်,440
elevator,အယ်လီဗေတာ,440
email,အီးမေးလ်,440
embassy,အမ်ဘက်စီ,440
engine,အင်ဂျင်,440
engineering,အင်ဂျင်နီယာရင်း,440
exam,အိပ်ဇမ်,440
factory,ဖက်ထရီ,440
fan,ဖန်,440
fashion,ဖက်ရှင်,440
file,ဖိုင်,440
film,ဖလင်,440
folder,ဖိုလ်ဒါ,440
football,ဘောလုံး,440
ga,ဃ,560
game,ဂိမ်း,440
